frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:20:49.190035000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.197946000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198082000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198090000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198098000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.198303000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.198453000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198459000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198652000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.198661000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198668000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198779000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.198787000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198790000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.198841000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.199224000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.300218000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.300337000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.300344000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.300460000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.300519000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.405598000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.405675000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.405881000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.405907000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.405911000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.406027000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.406032000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.406212000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.638253000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638310000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638315000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638321000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638324000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638328000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.638330000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639357000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.639371000 +07,185.153.198.117,10.12.15.101,80,49208,,,
